,player_name,User_Name,Screen_Name,Tweet_created,Retweeted,Favourited,Location,Time_Zone,Geo,Text,Favourites_Count,Friends_Count,Followers_Count,Retweet_Count,Hashtags,URL
10,Alvaro Morata,yunghova,hovie1234,2018-04-22 20:10:07,False,False,,None,None,"RT @kingzorro81: Last weekend we got hit with 18” of snow in Minnesota. 
Just a week later spring is here..
see more https://t.co/EGxPmXzOK…",36,22,4,156,None,[]
11,Alvaro Morata,kaito,kaito_z12,2018-04-22 20:06:37,False,False,"Makassar, Indonesia",None,None,"RT @kingzorro81: Last weekend we got hit with 18” of snow in Minnesota. 
Just a week later spring is here..
see more https://t.co/EGxPmXzOK…",72,557,22,302,None,[]
12,Alvaro Morata,marzok zeze,ZezeMarzok,2018-04-22 19:57:02,False,False,,None,None,"RT @kingzorro81: Last weekend we got hit with 18” of snow in Minnesota. 
Just a week later spring is here..
see more https://t.co/EGxPmXzOK…",64,412,7,142,None,[]
13,Alvaro Morata,Taye6???,6thFlameRebel_,2018-04-22 19:54:15,False,False,Louisiana,None,None,"RT @kingzorro81: Last weekend we got hit with 18” of snow in Minnesota. 
Just a week later spring is here..
see more https://t.co/EGxPmXzOK…",828,13,696,1241,None,[]
14,Alvaro Morata,Alva Starr,SplendorNatalie,2018-04-22 19:48:07,False,False,ESPAÑA,Athens,None,"RT @Nataxab3: Me acuerdo cuando decían q España no tenía delanteros y parecía q sólo existía #Morata... Ahora tenemos a #Aspas, #Rodrigo, #…",7546,510,651,34547,Morata,[]
15,Alvaro Morata,Raichel,crypto_chechi,2018-04-22 19:39:56,False,False,"San Jose, CA",None,None,"RT @kingzorro81: Last weekend we got hit with 18” of snow in Minnesota. 
Just a week later spring is here..
see more https://t.co/EGxPmXzOK…",100,240,211,136,None,[]
16,Alvaro Morata,karwankurd,karwankurd4,2018-04-22 19:33:50,False,False,Iraq,Hawaii,None,"RT @kingzorro81: Last weekend we got hit with 18” of snow in Minnesota. 
Just a week later spring is here..
see more https://t.co/EGxPmXzOK…",284,1671,130,1483,None,[]
17,Alvaro Morata,Agentianonimi.com,AgentiAnonimi,2018-04-22 19:24:52,False,False,"Milano, Lombardia",Rome,None,"#FACUP: #Giroud e #Morata portano il #Chelsea in finale. 

Battuto 2-0 il #Southampton ?

https://t.co/daJME93pgT",6938,424,4977,27293,FACUP,"[{'url': 'https://t.co/daJME93pgT', 'expanded_url': 'https://www.agentianonimi.com/fa-cup-analisi-semifinale-chelsea-southampton-2017-2018/', 'display_url': 'agentianonimi.com/fa-cup-analisi…', 'indices': [90, 113]}]"
18,Alvaro Morata,Transfermarkt.pl,TMpl_news,2018-04-22 19:20:01,False,False,,None,None,Chelsea rywalem Manchesteru United w finale https://t.co/Q1c4oJb2ie #transfermarkt #morata #bednarek #giroud,0,12,2888,20138,transfermarkt,"[{'url': 'https://t.co/Q1c4oJb2ie', 'expanded_url': 'http://tinyurl.com/ycycqrun', 'display_url': 'tinyurl.com/ycycqrun', 'indices': [44, 67]}]"
19,Alvaro Morata,Premier League en español,PremierIeagueES,2018-04-22 19:10:49,False,False,,Buenos Aires,None,"#FACup

#Chelsea 2 - 0 #Southampton

46' #Giroud; 82' #Morata https://t.co/JOXEqA7GrO",286,33,3195,833,FACup,[]
20,Eden Hazard,Ariel Montecinos Y.,arielmontecinos,2018-04-22 23:03:11,False,False,"Santiago, Chile",Santiago,None,"@Goal_en_espanol @ChelseaFC_Sp, cuando vi los acompañantes del frances ahi dije #Chelsea!! #William de enlace por l… https://t.co/GQLsTAirdA",570,201,161,5471,Chelsea,"[{'url': 'https://t.co/GQLsTAirdA', 'expanded_url': 'https://twitter.com/i/web/status/988191513464180736', 'display_url': 'twitter.com/i/web/status/9…', 'indices': [117, 140]}]"
21,Eden Hazard,Eshk13,Eshk_chelsea,2018-04-22 22:06:22,False,False,kurdistan,Pacific Time (US & Canada),None,"@hazardeden10 ??? 
.
.
#chelsea #cfc #hazard https://t.co/HwGjseZ0bC",1108,221,27,27,chelsea,[]
22,Eden Hazard,And Smith Must Score,AndSmithMustSc1,2018-04-22 22:05:35,False,False,next: tbc,Casablanca,None,RT @AndSmithMustSc1: Although Citeh have strolled the League I'd still be surprised if #Salah doesn't get #POTY. As o/s as #Hazard was two…,347,984,493,3104,Salah,[]
23,Eden Hazard,MC,mchino141731,2018-04-22 21:48:36,False,False,,None,None,@zazzatweet @pisto_gol @FabRavezzani Su #Dybala ci sarebbe da considerare un piccolo particolare. Anche #Salah e… https://t.co/dKwRtqbIsq,1,38,3,99,Dybala,"[{'url': 'https://t.co/dKwRtqbIsq', 'expanded_url': 'https://twitter.com/i/web/status/988172744377405440', 'display_url': 'twitter.com/i/web/status/9…', 'indices': [114, 137]}]"
24,Eden Hazard,Dave Heasman,daveheez,2018-04-22 21:43:13,False,False,London,London,None,"RT @jakeheasman: He can frustrate the life out of me, but games like today are a reminder why I’d never want him to leave. A joy to watch.…",1621,313,277,11409,None,[]
25,Eden Hazard,Harvey Emby,harveyemby10,2018-04-22 21:40:42,False,False,,None,None,"Great atmosphere at Wembley today, fans were great, shame Southampton let it down by leaving thousands of empty sea… https://t.co/pgZ0vNm7Dq",88,179,22,164,None,"[{'url': 'https://t.co/pgZ0vNm7Dq', 'expanded_url': 'https://twitter.com/i/web/status/988170757191675904', 'display_url': 'twitter.com/i/web/status/9…', 'indices': [117, 140]}]"
26,Eden Hazard,AJ,ajaybhatus,2018-04-22 20:54:25,False,False,,None,None,RT @LalitAmbardar: @PiyushGoyalOffc Gaping hole in connecting corridor of Coach A1&amp;A2 in Jammu _Delhi  24402 Train. #Hazard #realtime https…,3018,600,309,8092,Hazard,[]
